Time (s);HRR (kW/m²);EHC (MJ/kg);SEA (m²/kg);MLR (g/s);Specific MLR (g/s·m²);COY (kg/kg);CO2Y (kg/kg);THR (MJ/m²);MFR (g/s);k (1/m);V stack (l/s);V smoke (l/s);SPR (m²/s);RSR ((m²/s)/m²);TSP (m²);TSR (m²/m²);COP (g/s);CO2P (g/s);O2C (g/s);TOC (g);ARHE(kW/m²);Specimen mass (g)
0;1.70968731888022;0.198071645407784;4.86112066896488;0.086316611111114;8.6316611111114;0.000353202997852534;0.0158950290444741;0;26.9005799021414;0.0167284121487105;24.8428794338508;25.0828027560037;0.00041959546234724;0.041959546234724;0;0;3.04872858089168E-05;0.00137200504063173;0.00130213760247574;0;0;27.08
3;2.13164875110635;8.38058656297772;92.3181681632173;0.00254355555555404;0.254355555555404;-0.0051416552300368;0.309714491665309;0.00576200410497985;26.541986615135;0.00948709143728424;24.5164504499878;24.7511464459272;0.000234816389510124;0.0234816389510124;0.000981617777786045;0.0981617777786045;-1.30780857251036E-05;0.000787776015910893;0.00145482560541907;0.00413544481184222;1.92066803499328;26.97185
6;1.97215063013535;0;0;-0.00698583333333325;-0.698583333333325;0;0;0.0119177031768424;26.9221415000772;0.00159760886511797;24.8541780532332;25.0928453644291;4.00885522052465E-05;0.00400885522052465;0.0013939751903591;0.13939751903591;-2.85303739638067E-05;0.000547221831257654;0.00131448098107399;0.00828940469158181;1.98628386280707;26.990495
9;1.91114890342036;46.3028201918662;786.991326809916;0.000412750000000233;0.0412750000000233;-0.0310364825152342;2.44812340112161;0.017742652477176;26.7007699144159;0.013055649823093;24.6414945822962;24.8804674254062;0.000324830670140976;0.0324830670140976;0.00194135402387843;0.194135402387843;-1.28103081581702E-05;0.00101046293381352;0.0013535379798301;0.0122914331329379;1.97140583079733;26.992156
12;2.55598090350605;57.2626252574701;126.722235852675;0.000446361111111059;0.0446361111111059;-0.0658782393377251;2.98356429237001;0.0244433471875656;26.6417010553955;0.00227942833020222;24.5793626136064;24.8149403287707;5.65638779976776E-05;0.00565638779976776;0.00251344584608641;0.251344584608642;-2.94054841088272E-05;0.00133174707261356;0.00179216527142287;0.0170099880098174;2.0369455989638;26.990958
15;3.87345103622661;0;0;-0.000390361111110929;-0.0390361111110929;0;0;0.0340874950971646;26.7815860562605;-0.00459990602607179;24.7024285856145;24.9393190551;-0.000114718524007681;-0.0114718524007681;0.00259829166308293;0.259829166308293;-1.66538186718062E-05;0.00113161010571754;0.00257657288603213;0.0235630952459999;2.27249967314431;26.990413
18;2.90827274379447;0;0;-0.000200444444444929;-0.0200444444444929;0;0;0.0442600807671962;26.5849632486869;0.00370415032417087;24.5157260149579;24.7491460343393;9.16745573060501E-05;0.00916745573060501;0.00273580349904201;0.273580349904201;-2.94636975335148E-05;0.000693651829852602;0.00191135851987346;0.0302949923548583;2.45889337595534;26.99262
21;2.07886619110163;0;385.243386640377;0.000251833333333944;0.0251833333333944;-0.00593044538270394;2.13411060829622;0.0517407891695403;26.7644390636997;0.00389427727734841;24.6774433194478;24.9127422864358;9.70171262025037E-05;0.00970171262025037;0.00301884102430484;0.301884102430484;-1.49348382888123E-06;0.000537440188190568;0.00138906145570139;0.0352456223182206;2.46384710331145;26.991399
24;2.1319517889598;0;0;-5.11111111110512E-05;-0.00511111111110512;0;0;0.0580570161396325;26.6824338395122;0.000414425840541567;24.5948065625852;24.8314999398255;1.02908152344701E-05;0.00102908152344701;0.0031798029364603;0.31798029364603;4.86333557561242E-05;5.7455388372305E-05;0.00136822644058435;0.0393815541626492;2.41904233915135;26.99163
27;2.03040144464304;0;0;-0.000444972222222617;-0.0444972222222617;0;0;0.0643005459900368;26.7407111984914;0.0037137363728571;24.6457986294801;24.8816461282999;9.24038742432261E-05;0.00924038742432261;0.00333384497067684;0.333384497067684;0.00012177523796755;0.000234248646717556;0.00136168115003294;0.0434764155485751;2.3815017033347;26.991559
30;2.0604432391882;7.3417553285329;365.35647247088;0.00280647222222255;0.280647222222255;0.0773368140414025;0.0161973904416886;0.0704368130157836;26.5587928729738;0.0415029891278721;24.4736953878257;24.705757651324;0.00102536279119874;0.102536279119874;0.0050104949688398;0.50104949688398;0.000217043620362387;4.54575263470921E-05;0.00138875518404491;0.0476020700496919;2.34789376719279;26.99206
33;2.76564165463746;0;0;0.000260388888888722;0.0260388888888722;1.57358024789385;0.937409567286484;0.0776759403565221;26.8867414051223;0.07793938997141;24.7793228052694;25.0118145160137;0.00194940556545617;0.194940556545617;0.00947264750382216;0.947264750382216;0.000409742812326319;0.000244091035659385;0.00192881042726111;0.0525784184666509;2.35381637444006;26.97882
36;3.65548228165072;0;0;-0.00215716666666636;-0.215716666666636;0;0;0.0873076262609544;26.638041245638;0.132327794352814;24.5487584854047;24.7829462288042;0.00327947261202205;0.327947261202205;0.0173159647700395;1.73159647700395;0.000617821910047927;0.000353375373105657;0.00257416993368933;0.0593328890080766;2.42521184058207;26.990751
39;4.01374294760755;0;0;0.000144749999999681;0.0144749999999681;6.59756240775296;25.4075319914675;0.0988114641048418;26.8161419778956;0.216872235251578;24.7160033774861;24.9515291083161;0.00541129389066532;0.541129389066532;0.0303521145240706;3.03521145240705;0.000954997158520139;0.00367774025575682;0.0034340740042084;0.0683452549149232;2.53362728473953;26.990461
42;13.2580150161564;0;0;-0.0284031388888892;-2.84031388888892;0;0;0.124719101050488;26.8534765746822;0.119639641383664;24.7515545616482;24.9926544624739;0.00299011221711622;0.299011221711622;0.0429542236857429;4.29542236857429;0.0011475131485021;0.0149842694429086;0.0109145250433453;0.0898681534862537;2.96950240596399;27.00753
45;27.1944846288022;0;463.328412640494;0.000807027777777414;0.0807027777777414;1.21884426502342;35.4705812375487;0.185397850517926;26.6289099035001;0.0150520170189513;24.5879187977793;24.8417802586598;0.000373918899234395;0.0373918899234395;0.0480002703602688;4.80002703602688;0.000983641178658595;0.0286257443526122;0.0214969741825368;0.138485402325077;4.11995223373168;27.118263
48;50.5443946680987;11.0715839088982;4.01450234234695;0.0456523611111112;4.56523611111112;0.015282718280468;1.04359672246214;0.302006169463277;25.9060808123829;0.00755587986746978;23.9952354107593;24.25548233016;0.000183271510614225;0.0183271510614225;0.0488360559750417;4.88360559750417;0.000697692173699304;0.0476426544282135;0.0386495391385586;0.22870517230672;6.2917951971516;26.990654
51;88.0534425166197;27.4347062607013;150.624488260429;0.0320956388888884;3.20956388888884;0.0215916283735642;2.23020889711815;0.509902925240354;25.3842740082588;0.202238338045696;23.6254764784166;23.9044151061903;0.00483438918303035;0.483438918303035;0.0563625470155086;5.63625470155085;0.000692997107300995;0.0715799794086903;0.0654146415527707;0.384801443343714;9.99809657334028;26.884506
54;137.728802019867;27.5880160485544;309.685533265783;0.0499234166666666;4.99234166666666;0.0196802694640605;2.10990173102897;0.848576292045084;25.707611578178;0.633210880820438;24.1009575055945;24.4161311518125;0.0154605599128665;1.54605599128665;0.0868049706593538;8.68049706593538;0.000982506292566569;0.10533350324388;0.101350036073946;0.634948459783789;15.7143757786127;26.780959
57;192.022845526376;39.8529354833377;539.816008144285;0.0481828611111117;4.81828611111117;0.0302265714313237;2.82661233406741;1.34320376336445;25.4215946951978;1.06604756560152;24.0492553640412;24.3984232835753;0.0260098797459708;2.60098797459708;0.14901063014761;14.901063014761;0.00145640269314057;0.136194269507325;0.13987677489124;0.996788676231569;23.5649783046394;26.596146
60;234.664804132818;37.9413465098286;419.937289919774;0.0618493611111111;6.18493611111111;0.0319509814173497;2.6680006625751;1.98323523785324;24.0316300414639;1.11123750099789;22.9929569373363;23.3729090900422;0.0259728530882695;2.59728530882695;0.22698472939897;22.698472939897;0.00197614778753606;0.165014136424291;0.170985584413655;1.46308221518891;33.0539206308873;26.481017
63;293.510722941123;34.3555051202348;344.750652987081;0.0854333888888889;8.54333888888889;0.0293444260182071;2.42018268337268;2.77549852846415;23.3675829653102;1.27501510100278;22.6530277251827;23.1002884461362;0.0294532166063437;2.94532166063437;0.31012383394089;31.012383394089;0.00250699375973472;0.206764408370733;0.214226790772886;2.04090077796872;44.0555321978437;26.219553
66;346.279879008144;58.7822798120128;663.527958563522;0.0589088888888889;5.89088888888888;0.0523967730179214;4.35371145619117;3.73518443138805;22.793062428248;1.70050272900718;22.4410210403696;22.9859641616164;0.0390876947856898;3.90876947856898;0.41293520102894;41.293520102894;0.00308663567984906;0.256472304427048;0.254956639772158;2.74467592378629;56.5937035058796;25.994792
69;417.6176945969;26.9525297769995;261.734047034484;0.154945638888889;15.4945638888889;0.024564049925156;2.06202324665111;4.88103079179562;21.639770533085;1.81284448222032;21.7159943613635;22.3706719106223;0.0405545491367327;4.05545491367327;0.532398566912574;53.2398566912574;0.00380609240935187;0.319501509356099;0.309593203949155;3.59150068936826;70.7395766926901;25.781948
72;532.617271195639;25.9000714601412;245.491565008802;0.205643166666667;20.5643166666667;0.0236174359514019;1.97194125997142;6.30638324048443;20.9178074028148;2.26033149498203;21.4843123082704;22.3346278766811;0.0504836628183659;5.04836628183659;0.668955884845222;66.8955884845222;0.00485676431759346;0.40551624518118;0.395715751969243;4.64946412324586;87.5886561178392;25.100897
75;695.594491906167;60.5253804646468;453.139240163895;0.114926083333333;11.4926083333333;0.0549640897534724;4.41734881232215;8.14870088513713;20.2838060330322;2.31295915262779;21.4235358668643;22.5155373009994;0.0520775180766789;5.20775180766789;0.822797656187789;82.2797656187789;0.00631680755934835;0.507668597717334;0.515963781913265;6.01698342406962;108.649345135162;24.646436
78;820.523274956134;52.2325296594317;419.577146444742;0.157090472222222;15.7090472222222;0.0492024502997858;3.71141444512503;10.4228775354306;19.5326197383015;2.89457780673007;21.3384815698133;22.770703180066;0.0659115720686569;6.59115720686569;0.999781291405793;99.9781291405793;0.00772923615208375;0.583027847797066;0.609003723001459;7.7044346814417;133.626635069623;24.31385
81;901.177801945622;28.3378379096419;209.145218061895;0.318012194444445;31.8012194444445;0.0282385231501349;2.05050486264176;13.0054291507832;18.5624242762946;2.92244795775336;21.0072981882598;22.7585677195619;0.0665107297534253;6.65107297534253;1.19841474413892;119.841474413892;0.00898019471484466;0.652085551087711;0.672915996344386;9.62731426046047;160.560853713373;23.622911
84;1092.96959404088;44.9512676060279;319.564055584742;0.243145444444445;24.3145444444445;0.0446046770238919;3.39336198046695;15.996650244763;19.4741475951741;3.10348875402374;22.7626391157403;25.036515509483;0.0777005443236214;7.77005443236214;1.41473165525449;141.473165525449;0.0108454240192751;0.825080506901518;0.82376131530003;11.8723302279271;190.436312437654;22.567954
87;1052.69287101628;47.75016629686;261.044294662527;0.220458472222222;22.0458472222222;0.0465879382879416;3.94154242565968;19.2151439423487;16.1371651817695;2.62921616623616;19.5213839203625;21.8884347063836;0.0575494263836284;5.75494263836284;1.61760661131536;161.760661131536;0.0102707056989428;0.868946421360005;0.806267476433182;14.3173734155269;220.863723475273;22.127707
90;1195.20518382782;29.3216159350558;151.629647061523;0.407619138888889;40.7619138888889;0.0269692882826943;2.51953088152959;22.5869910246149;15.2893414987792;2.79705841637758;19.2206949894764;22.0971953261132;0.0618071461652443;6.18071461652443;1.79664147013867;179.664147013867;0.0109931980662381;1.02700900833306;0.925571868599728;16.9151324330763;250.966566940165;21.105454
93;1399.34635291489;43.5687850453076;211.263065687329;0.321180944444445;32.1180944444445;0.0370261394630283;3.56496861574908;26.4788183297289;14.447528014735;3.03838338547608;18.9384656023905;22.3321623229101;0.067853670963685;6.7853670963685;1.99113269583206;199.113269583206;0.0118920904418672;1.1449999869211;1.08651228789591;19.9332586678197;284.718476663752;19.859416
96;1661.07943016807;43.7558670829825;197.892465374539;0.379624388888889;37.9624388888889;0.0346228860819547;3.4235602669572;31.0694570043534;14.6186266500271;3.12082950918521;19.9042292973608;24.0720635370879;0.0751248062335251;7.51248062335251;2.20560041162788;220.560041162788;0.0131436919704317;1.29966697416791;1.29452707027978;23.5048177050833;323.640177128681;19.095915
99;1527.55023771292;40.1637556321919;174.868679013295;0.380330527777778;38.0330527777778;0.0313955348818209;3.14669202652019;35.8524015061749;12.3261791373225;3.07311800369818;17.4051119896193;21.641829861689;0.0665078969809292;6.65078969809292;2.41804946644956;241.804946644956;0.0119406803514686;1.19678303920055;1.19733394776813;27.2426092321551;362.145469759342;17.613909
102;1915.4823597253;52.1699708659456;198.040441505766;0.367161861111111;36.7161861111111;0.0391928636599804;4.15418587960439;41.0169504023322;14.3873434321575;2.73185358604657;20.9290144039969;26.6166889213672;0.072712897078523;7.2712897078523;2.62688065753874;262.688065753874;0.0143901247636724;1.52525861895705;1.51118114973679;31.3053818784125;402.126964728747;16.807876
105;2052.40154037551;32.8115410567024;76.7762268985494;0.625512083333333;62.5512083333333;0.0218300342073533;2.60663191155287;46.9687762524834;14.3294320838341;1.71962598201407;21.4779019767167;27.9272691504329;0.0480244576377843;4.80244576377843;2.8079866896132;280.79866896132;0.0136549501762795;1.63047975747859;1.62751467723229;36.0134256188661;447.32167859508;15.247003
108;1862.78170604563;46.9313934721849;151.429492503704;0.396915916666667;39.6915916666667;0.0283470953411349;3.84937144354618;52.8415511221151;12.2194152093827;2.41414254602182;18.7907835009859;24.896945678092;0.0601047758274759;6.01047758274759;2.97018053981109;297.018053981109;0.011251413332164;1.52787679510562;1.48841509659618;40.6873202796088;489.273621501066;13.378494
111;1916.13161295046;43.6919340322299;78.1252374955162;0.438555;43.8555;0.0245430653140611;3.84283992931997;58.5099211006093;11.912629239202;1.35174303517793;18.7498725321777;25.3466913741755;0.0342622135298461;3.42622135298461;3.11173102384707;311.173102384707;0.0107634840088081;1.68529666520292;1.54648510362781;45.2396705799448;527.116406311795;12.697288
114;2146.39674353212;41.579039229686;44.3137945333833;0.516220861111111;51.6220861111111;0.0234175324017473;3.54829439047324;64.6037136353331;11.7556692307861;0.871242473250219;18.9950429844505;26.2564164115931;0.022875705173124;2.2875705173124;3.19743790190153;319.743790190153;0.0120886187415274;1.83170358572582;1.74916838193689;50.1831508082919;566.699242415203;10.699129
117;2677.04060596525;47.0582964867701;20.9761984478267;0.5688775;56.88775;0.038780855929326;3.44019230899594;71.8388696595792;12.5591615456605;0.400776248682411;20.9063949885597;29.7744374117329;0.0119328873325035;1.19328873325035;3.24965079065997;324.965079065997;0.0220615563689352;1.95704800026084;2.2094270671314;56.1210439818943;614.007432987856;9.600063
