Time (s);HRR (kW/m²);EHC (MJ/kg);SEA (m²/kg);MLR (g/s);Specific MLR (g/s·m²);COY (kg/kg);CO2Y (kg/kg);THR (MJ/m²);MFR (g/s);k (1/m);V stack (l/s);V smoke (l/s);SPR (m²/s);RSR ((m²/s)/m²);TSP (m²);TSR (m²/m²);COP (g/s);CO2P (g/s);O2C (g/s);TOC (g);ARHE(kW/m²);Specimen mass (g)
120;2567.94095050039;31.8287868187666;7.42254851404106;0.80679825;80.679825;0.0300675806743264;2.09628590947968;79.7063419942777;10.8536036369565;0.216132575056518;18.7195902141968;27.7075269662727;0.00598849915166842;0.598849915166842;3.27653287038623;327.653287038623;0.0242584714697803;1.69127980326787;2.15175117565035;62.662811346067;664.21951661898;7.184645
123;2646.91553860285;42.8924797663816;45.8258808182798;0.617104805555555;61.7104805555555;0.0411270099328603;2.70977525082723;87.5286267279325;10.7312454115512;0.975052387942446;19.0652269479464;29.0029249930373;0.0282793712717766;2.82793712717766;3.3279346760214;332.79346760214;0.0253796754676991;1.672215329261;2.23493551612893;69.2428413837359;711.614851446606;5.061006
126;2830.59233886507;50.1758837348504;26.5774763129679;0.564134027777778;56.4134027777778;0.048988129457046;3.17946849569095;95.7448885441344;11.5105147617685;0.461387461499198;20.9230652370169;32.4960256004468;0.0149932587606031;1.49932587606031;3.39284362106996;339.284362106996;0.0276358707839026;1.79364636866669;2.38874649882582;76.178364406168;759.880067810591;3.43141
129;2486.83835290703;73.9637981660137;40.289907561925;0.336223722222222;33.6223722222222;0.0826744850495812;4.30063745460669;103.721034581793;11.5326265128503;0.406978549472892;21.2358818329709;33.2853481000526;0.0135464226884597;1.35464226884597;3.43565314324356;343.565314324356;0.0277971230961756;1.44597633291617;2.04329997443225;82.8264341160551;804.039027765834;1.789956
132;1834.17237350656;78.5852432370975;471.288296845063;0.233399083333333;23.3399083333333;0.101880869207987;3.53760810991036;110.202550671413;10.62383007342;3.67998144881186;19.4204686824819;29.890981245267;0.109998256469366;10.9998256469366;3.6209701619803;362.09701619803;0.0237789014823475;0.825674490045645;1.44082692100009;88.0526244592036;834.867808116765;1.32507
135;1615.91273913692;68.700194787343;574.9506959024;0.23521225;23.521225;0.0862167331899735;2.56917967719006;115.377678340378;14.0562310435273;3.65300822779737;24.9233544471593;37.0202962569869;0.135235446822269;13.5235446822269;3.98882071691775;398.882071691775;0.0202792318012633;0.604302532526148;1.19707863379874;92.0094827914019;854.649469187986;0.314339999999998
138;1007.08292817739;0;1251.05647758451;0.0523931111111111;5.23931111111111;0.246207363809135;6.83170155861331;119.31217184135;16.4631927451564;1.64187975924639;27.9186250265486;39.9217669060286;0.0655467410363607;6.55467410363607;4.28999399870569;428.999399870569;0.0128995697684258;0.357934098838378;0.711368824679665;94.8721539791194;864.580955372099;0.0288489999999978
141;489.197152427782;0;1500.38691355102;0.0367221944444445;3.67221944444445;0.196894587484133;5.56506545043095;121.556591962257;18.3619899808128;1.35715262059408;29.3915201621509;40.5978658149754;0.0550974999813205;5.50974999813205;4.47096036023222;447.096036023222;0.00723040132665101;0.204361415566785;0.34096099719727;96.4506487119348;862.103489094024;-0.112171000000002
144;216.935130988561;0;-23.8722444300253;0.0154763888888889;1.54763888888889;0.249680034207706;8.14553084299777;122.615790387382;19.8130529328494;-0.00919798581180417;29.9126467816247;40.1670698356094;-0.000369456138449683;-0.0369456138449683;4.5536066102042;455.36066102042;0.00386414530718954;0.126063403032672;0.155034444892728;97.1946418750698;851.498544356819;-0.200866000000002
147;96.4949541847333;0;0;-0.0163179444444444;-1.63179444444444;0;0;123.085935515142;20.3653793005131;-0.0157193088199619;29.1907866888097;38.2478210862278;-0.000601229311345065;-0.0601229311345065;4.5536066102042;455.36066102042;0.00213457304243271;0.0860698726381895;0.0734039073745709;97.5372994034708;837.319289218652;-0.201381000000002
150;46.848475322519;0;0;-0.0173848333333333;-1.73848333333333;0;0;123.300950659403;21.0353544033955;-0.00187156163654571;28.83519306798;36.9333616446932;-6.91230627628767E-05;-0.00691230627628767;4.5536066102042;455.36066102042;0.00137203805765294;0.065063262411215;0.0392761938946003;97.7063195553745;822.006337729351;-0.127681000000002
153;27.3503466828378;0;-566.488130567096;0.000696444444444446;0.0696444444444446;1.32201762610599;72.0853349165661;123.412248892411;21.1711246042556;-0.0112648896082719;27.9535276705115;35.0227587749702;-0.000394527511377174;-0.0394527511377174;4.5536066102042;455.36066102042;0.000920711831159154;0.0502034310285597;0.0248409777291979;97.8024953128103;806.61600583275;-0.114137000000002
156;17.6491537387152;10.9530041975384;-9.14854227243739;0.0161135277777778;1.61135277777778;0.0409030474006339;2.58129170020823;123.479748143043;21.6304615754068;-0.00434300532543887;27.6725263699979;33.9431520310645;-0.000147415290033094;-0.0147415290033094;4.5536066102042;455.36066102042;0.000659092390485875;0.0415937155138525;0.017464223639151;97.8659531148628;791.536847070789;-0.128768000000002
159;12.290703768409;0;0;-0.00357044444444444;-0.357044444444444;0;0;123.524657929304;21.7853140715651;-0.0140696570083716;27.1403713179659;32.6300173547894;-0.000459093152359099;-0.0459093152359099;4.5536066102042;455.36066102042;0.00046917304876279;0.0342328844300579;0.0129761836003607;97.911613725722;776.884641064803;-0.185005000000002
162;8.40171804575677;0;0;-0.0145004444444444;-1.45004444444444;0;0;123.555696562025;22.2880397694482;-0.00536195325853951;27.1427410675315;32.0289923186426;-0.000171737959730683;-0.0171737959730683;4.5536066102042;455.36066102042;0.00037882507289021;0.0297842160544354;0.00987430285461235;97.9458894554045;762.689484950772;-0.114538000000002
165;6.8016600985534;3.19455080480843;-20.7283075888382;0.0212914444444444;2.12914444444444;0.0163559367603431;1.20169177282337;123.578501629241;22.2902574905221;-0.0142941192496539;26.6214187910816;30.8753272410115;-0.000441335609455104;-0.0441335609455104;4.5536066102042;455.36066102042;0.000348241518869692;0.0255857536204146;0.00823983631203438;97.9730606641545;748.960615934797;-0.128833000000002
168;4.20818555815623;0;0;-0.00382402777777779;-0.382402777777779;0;0;123.595016397727;22.8803254602067;-0.00365706072921875;26.8683183659263;30.6758867907276;-0.00011218358091633;-0.011218358091633;4.5536066102042;455.36066102042;0.000314918192406282;0.0231593626300384;0.00626455577994487;97.9948172522925;735.684621415039;-0.201408000000002
171;3.67835993819059;0;0;-0.0156155833333333;-1.56155833333333;0;0;123.606846215971;22.942585752146;-0.0136668474907815;26.5462169345957;29.8760406014942;-0.000408311290529018;-0.0408311290529018;4.5536066102042;455.36066102042;0.000247819162640553;0.0202350472640588;0.00546717498764249;98.0124148484438;722.847053894568;-0.113473000000002
174;2.16563148366498;8.249064491111;-147.087897746842;0.00262530555555556;0.262530555555556;0.0846693392122048;7.02780778441858;123.615612203104;23.1157995420754;-0.0131633096531982;26.4093087687999;29.3353788130293;-0.000386150675109773;-0.0386150675109773;4.5536066102042;455.36066102042;0.00022228288661902;0.0184501428198107;0.00425610279065707;98.0269997651113;710.434552891401;-0.129323000000002
177;2.08912846263373;0;0;-0.00391897222222222;-0.391897222222222;0;0;123.621994343023;23.1761202404673;-0.00957376102863401;26.1878521866513;28.746797868761;-0.000275214973133963;-0.0275214973133963;4.5536066102042;455.36066102042;0.000183025397276834;0.0165865001667778;0.00390970696887226;98.0392484797506;698.429346570753;-0.114314000000002
180;1.57086556028045;9.00338478452757;-238.83100590535;0.00174475;0.174475;0.0720354183383673;8.55396336647884;123.627484334058;23.1861883150467;-0.0147919574962122;25.9459538804495;28.1707405973864;-0.00041670039755336;-0.041670039755336;4.5536066102042;455.36066102042;0.000125683796145867;0.014924527583664;0.00331547278112716;98.0500862493756;686.819357411431;-0.113625000000002
183;2.04915149324497;1.31174379031893;-17.2018813330651;0.0156215833333333;1.56215833333333;0.00792006738327209;0.868236418125492;123.632914359638;23.310813585566;-0.00966384097701865;25.8592236628162;27.8068133957942;-0.000268720622734587;-0.0268720622734587;4.5536066102042;455.36066102042;0.0001237239926334;0.0135632275587822;0.00340121438382412;98.060161280123;675.589695954306;-0.128972000000002
186;1.10963135769008;0;0;-0.00350911111111112;-0.350911111111112;0;0;123.637652533914;23.5712057121558;-0.0113682030723801;25.9507343587722;27.6557249092177;-0.000314395896881867;-0.0314395896881867;4.5536066102042;455.36066102042;0.000118000699570316;0.0127438420193539;0.00269722278949503;98.069308935883;664.718562010292;-0.183776000000002
189;1.06462267131122;0;0;-0.01517325;-1.517325;0;0;123.640913914958;23.4474356157602;-0.0149536356039451;25.6400658898249;27.1087216408793;-0.000405373945106489;-0.0405373945106489;4.5536066102042;455.36066102042;9.50341245672053E-05;0.0115580161982461;0.00247965179912533;98.0770742477659;654.184729708771;-0.113145000000002
192;0.790964818098787;4.81292927193624;-183.228445337501;0.00164341666666666;0.164341666666666;0.0347569887729175;6.54743467023969;123.643697296192;23.4697829254979;-0.0112475436746709;25.5048183251387;26.7721281716989;-0.000301120680875072;-0.0301120680875072;4.5536066102042;455.36066102042;5.71202146325588E-05;0.0107601632609831;0.00217501095175374;98.0840562418922;643.977590084333;-0.113337000000002
195;0.426997075593541;0;0;-5.5416666666672E-05;-0.0055416666666672;0;0;123.645524239032;23.8053713102272;-0.00517336347502936;25.7256010764876;26.8267537541442;-0.000138784548025297;-0.0138784548025297;4.5536066102042;455.36066102042;0.000105382835173722;0.0100668612752881;0.00186517898065032;98.0901165267909;634.079611482218;-0.111697000000002
198;0.370822970852366;14.8181007333611;-921.788300248583;0.000250250000000003;0.0250250000000003;0.274424687918552;37.4458354971218;123.646720969102;24.0018350410598;-0.00862014609717925;25.8093345443026;26.7602798765434;-0.00023067752213721;-0.023067752213721;4.5536066102042;455.36066102042;6.86747781516183E-05;0.00937082033315483;0.00171032487769743;98.0954797825784;624.478388732839;-0.113029000000002
201;0.804554917341984;0;0;-0.000677388888888893;-0.0677388888888893;0;0;123.648484035934;23.8156890001625;-0.00499697431675372;25.4953459260971;26.2983213376053;-0.00013141203629775;-0.013141203629775;4.5536066102042;455.36066102042;4.44630778053162E-05;0.00862544825890296;0.00185341824452229;98.1008253972617;615.166587243455;-0.112676000000002
204;0.693864612500418;1.89715841979061;-33.1565362001384;0.00365738888888889;0.365738888888889;0.0167580946346898;2.21172070922205;123.650731665229;23.9130062630588;-0.00463233745024583;25.4959347964843;26.1782196126478;-0.000121266347092428;-0.0121266347092428;4.5536066102042;455.36066102042;6.12908691158631E-05;0.00808912274723417;0.00171042556671648;98.1061711629786;606.131037574653;-0.112160000000002
207;0.99639116012285;60.8276780810932;-2074.79012149011;0.000163805555555564;0.0163805555555564;0.269624108389742;46.6480393814547;123.653267048888;23.9744471730769;-0.0130498385990098;25.4683099364415;26.0433986162612;-0.000339862148511884;-0.0339862148511884;4.5536066102042;455.36066102042;4.41659268659553E-05;0.00764120800645704;0.00182133845169776;98.1114688090062;597.358778013952;-0.129131000000002
210;0.153151773455912;0;0;-0.00352638888888889;-0.352638888888889;0;0;123.654991363289;24.0044745021998;-0.0120887217395225;25.4127358916845;25.8906736423587;-0.000312985149311264;-0.0312985149311264;4.5536066102042;455.36066102042;1.07134777982838E-05;0.00722764848638261;0.00122708664891349;98.1160414466571;588.833292206136;-0.113003000000002
213;-0.450475344987528;-6.56244432646124;-384.137164400396;0.000686444444444443;0.0686444444444443;0.00518535049540384;9.82634808967416;123.655221090949;24.0404036480567;-0.0102366357877055;25.3662326108563;25.7593244378189;-0.000263688822407294;-0.0263688822407294;4.5536066102042;455.36066102042;3.55945504006721E-06;0.0067452420553341;0.000779946900182279;98.1190519969807;580.540944088961;-0.113523000000002
216;-1.26171171518193;-69.0928228575439;-217.501112808989;0.000182611111111112;0.0182611111111112;0.058423081057086;34.1351289078707;123.655221090949;24.1501034115002;-0.001544282765756;25.4015008813923;25.7194606834254;-3.97181198779528E-05;-0.00397181198779528;4.5536066102042;455.36066102042;1.0668703746369E-05;0.0062334538177873;0.000206515910667056;98.120531691197;572.477875421059;-0.114246000000002
219;-1.17869599746484;0;0;-0.000274305555555558;-0.0274305555555558;0;0;123.655221090949;24.4305386339897;-0.00749486923090494;25.6257732810293;25.8853775781602;-0.000194007519940909;-0.0194007519940909;4.5536066102042;455.36066102042;2.38651395891389E-05;0.00602910396945903;0.000231883414824406;98.1211892901853;564.635712744058;-0.114363000000002
222;-0.354303201645767;0;0;-0.000365305555555552;-0.0365305555555552;0;0;123.655221090949;24.3501341201017;0.00119573203681167;25.4764890549218;25.673740178504;3.06989136362163E-05;0.00306989136362163;4.55365265857465;455.365265857465;-2.24325425621574E-05;0.00556709935741564;0.000649544303350033;98.1225114317625;557.005500409679;-0.113149000000002
225;-0.155071207508649;-0.422937495383262;-35.3342317374208;0.00366652777777778;0.366652777777778;-0.0141512122289625;1.47390971047405;123.655221090949;24.2481801618694;-0.00509059495768228;25.3055568984359;25.4496661487827;-0.000129553942171691;-0.0129553942171691;4.55369870694511;455.369870694511;-5.18858127267195E-05;0.00540413089538952;0.000735366983958472;98.1245887986935;549.578760404216;-0.114622000000002
228;0.868830205916079;0;0;-0.00242563888888888;-0.242563888888888;0;0;123.656524336258;24.3504464482411;-0.00720112617485847;25.3552645575495;25.4554426626627;-0.00018330785445071;-0.018330785445071;4.55369870694511;455.369870694511;-6.24379658220565E-05;0.00496102646623413;0.00129286348455162;98.1276311443962;542.35317691341;-0.129469000000002
231;-0.00905181087333532;-0.00705843141478447;-13.1825971875177;0.0128241111111111;1.28241111111111;-0.00417149774062769;0.378505305162632;123.657827581566;24.4157170465163;-0.00664731745833883;25.3681315233072;25.4320772439827;-0.000169055091065748;-0.0169055091065748;4.55369870694511;455.369870694511;-5.34957505255584E-05;0.00485399408955062;0.000740779611532317;98.1306816090404;535.315270915872;-0.112928000000002
234;0.219612825659662;0;0;-0.00169100000000001;-0.169100000000001;0;0;123.658157000805;24.8632918538785;0.00339421800804586;25.7786775686775;25.8084558251142;8.75995255214587E-05;0.00875995255214587;4.55383010623339;455.383010623339;-4.45674497896329E-05;0.00448054212772554;0.000828377621350224;98.1330353448897;528.453662396602;-0.186920000000002
237;-0.0460736496737525;0;0;-0.0313497222222222;-3.13497222222222;0;0;123.658486420043;24.4178578056634;-0.00137306379892841;25.2604977797287;25.2625027402637;-3.46870279829857E-05;-0.00346870279829857;4.55396150552167;455.396150552167;1.55641510721451E-05;0.00457021963814977;0.000702032658380994;98.1353309603093;521.765765485415;-0.112562000000002
240;-0.59631633686191;-0.0467380576527124;-0.358262319828608;0.127586888888889;12.7586888888889;0.00023410168182445;0.0323670759141645;123.658486420043;24.5838929418765;-0.00180229368787769;25.3852781407783;25.3618902959561;-4.57095747930481E-05;-0.00457095747930481;4.55396150552167;455.396150552167;2.98683052676381E-05;0.00412961451831873;0.000302652586284398;98.1368379881763;515.243693416848;-0.187417000000002
